1. Have you used an AI-powered calculator to solve math problems?,2. What AI-powered calculator/s have you used? (Toggle all that applies),Mathway,Photomath,Symbolab,Wolfram Alpha,Socratic,Maple Calculator,CameraMath,Brilliant,Microsoft Math Solver,MyScript,Not Applicable,Others,3. What AI-powered calculator/s do you usually use? (Toggle all that applies),Mathway,Photomath,Symbolab,Wolfram Alpha,Socratic,Maple Calculator,CameraMath,Brilliant,Microsoft Math Solver,MyScript,Not Applicable,Others,4. How often do you use AI-powered calculators?,5. How long have you been using an AI-powered calculator?,"6. In what specific branch of mathematics do you frequently use an AI-powered
calculator?",Arithmetic,Algebra,Trigonometry,Numerical Methods,Derivatives,Integrals,Differential Equations,Not Applicable,7. How do you solve math problems with simple expressions / equations?,8. How do you solve math problems with complex expressions / equations?,9. Do you think that using AI-powered calculators benefit your math studies?,10. Will you continue using AI-powered calculators to complete math problems?,STATEMENT [I use an AI-powered calculator.],STATEMENT [I think I can effectively do my math tasks with the help of an AI-powered calculator.],STATEMENT [I am confident with my answers when I use an AI-powered calculator.],STATEMENT [I think AI-powered calculators have a negative impact on my learning capability.],STATEMENT [I think AI-powered calculators have a positive impact on my learning capability.],STATEMENT [I think I’m cheating when I use an AI-powered calculator.],STATEMENT [I choose not to study and rely only on AI-powered calculators.]
Yes,"Mathway, Photomath, Integral-Calculator.com and Derivative-Calculator.net",1,1,,,,,,,,,,1,Integral-Calculator.com,,,,,,,,,,,,1,1-10 times per month,Less than 6 months,Integrals, , , , , ,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,1,4,2,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-5 times a week,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,3,3,3,3,3,1
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,6 months - 1 year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,No,3,4,3,3,3,3,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,4,3,3,1,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry, Integrals",1,1,1, , ,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,4,4,4,4,5,4
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Integrals, , , , , ,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,3,4,3,3
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,6 months - 1 year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,3,3,4,3,3,3,1
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,"Photomath, Symbolab",,1,1,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry", ,1,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,3,4,4,2
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals, Differential Equations", , ,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,5,5,5,2,4,3,1
Yes,"Mathway, Photomath, Symbolab, Socratic, Microsoft Math Solver",1,1,1,,1,,,,1,,,,"Mathway, Photomath, Symbolab, Socratic, Microsoft Math Solver",1,1,1,,1,,,,1,,,,1-10 times per month,6 months - 1 year,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,No,No,4,4,4,5,3,5,2
Yes,Chat gpt,,,,,,,,,,,,,Chat gpt,,,,,,,,,,,,1,2-10 times a day,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Pure manual calculation,Just copy the solution provided by the AI-powered calculator.,Yes,Yes,5,5,5,1,5,1,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Derivatives", ,1,1, ,1, , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,3,3,2,4,2,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry",1,1,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,4,3,5,5,4,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra",1,1, , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,3,3,4,2,5,2
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Integrals, Differential Equations", , ,1, , ,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,5,4,3,4,4,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Trigonometry", ,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,3,3,3,4,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Photomath, Symbolab",,1,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,4,4,4,3
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,Derivatives, , , , ,1, , , ,Manual calculation with the aid of AI-powered calculator,Just copy the solution provided by the AI-powered calculator.,Yes,Yes,3,3,4,2,5,2,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Trigonometry", ,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,3,3,3,2,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,Trigonometry, , ,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,3,2,4,3,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Trigonometry, Derivatives, Integrals, Differential Equations", , ,1, ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,2,3,3,3,3,3,3
Yes,"Photomath, Symbolab, Microsoft Math Solver",,1,1,,,,,,1,,,,"Mathway, Photomath, Symbolab, Microsoft Math Solver",1,1,1,,,,,,1,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Derivatives, Integrals, Differential Equations", ,1,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,3,3,3,3,3
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Trigonometry, Derivatives", ,1,1, ,1, , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,5,1,5,3,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,5,3,4,4,1
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,Photomath,,1,,,,,,,,,,,Never,More than a year,"Trigonometry, Numerical Methods", , ,1,1, , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,3,5,3,5,4,1
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,Never,Less than 6 months,Trigonometry, , ,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,1,2,1,5,1,5,3
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Algebra, ,1, , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,3,2,3,3,2,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Derivatives", ,1,1, ,1, , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,4,4,2,3,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,5,5,3,3,3,2
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Derivatives, Integrals, Differential Equations", ,1,1, ,1,1,1, ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,4,2,4,1,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-5 times a week,6 months - 1 year,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,1,5,1,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Integrals, , , , , ,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,3,3,2,4,3,4,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Arithmetic,1, , , , , , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,5,3,4,3,5,3,3
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic",1,1,1,1,1,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-5 times a week,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,5,5,2,4,4,1
Yes,"Photomath, Microsoft Math Solver",,1,,,,,,,1,,,,"Photomath, Microsoft Math Solver",,1,,,,,,,1,,,,1-10 times per month,6 months - 1 year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,5,5,4,4,3,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,5,5,4,4,5,2
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,5,5,5,5,5,5,5
Yes,"Photomath, Microsoft Math Solver",,1,,,,,,,1,,,,Photomath,,1,,,,,,,,,,,Never,Less than 6 months,Algebra, ,1, , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,3,3,3,3,4,4
Yes,"Mathway, CameraMath",1,,,,,,1,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Integrals", ,1, , , ,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,3,3,3,4
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,Numerical Methods, , , ,1, , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,3,4,4,2,2
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,1-5 times a week,Less than 6 months,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,No,3,4,3,3,4,3,2
No,Photomath,,1,,,,,,,,,,,nothing ,,,,,,,,,,,,,Never,Less than 6 months,Trigonometry, , ,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,2,2,2,2,2,2,2
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Numerical Methods", ,1, ,1, , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,5,5,5,4,5,1
No,None,,,,,,,,,,,,,None ,,,,,,,,,,,,,Never,Less than 6 months,Differential Equations, , , , , , ,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,1,1,1,1,1,1,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,4,4,3,4,3,1
Yes,"Mathway, Photomath, Symbolab, Socratic",1,1,1,,1,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-5 times a week,More than a year,"Algebra, Trigonometry", ,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,5,5,3,4,2,2
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Integrals, Differential Equations", , ,1, , ,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,No,Yes,3,3,3,5,2,3,2
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,4,3,5,2
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,3,2,2,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha, Brilliant, Microsoft Math Solver",1,1,1,1,,,,1,1,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,3,3,2,4,3,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,3,3,3,1
Yes,"Mathway, Photomath, Symbolab, Microsoft Math Solver",1,1,1,,,,,,1,,,,"Photomath, Microsoft Math Solver",,1,,,,,,,1,,,,1-5 times a week,More than a year,Integrals, , , , , ,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,5,5,3,5,3,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,Once per day,Less than 6 months,Algebra, ,1, , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,3,4,3,4,5,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,Arithmetic,1, , , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,5,5,5,4,4,4,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,Once per day,Less than 6 months,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,2,3,5,3,3,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Trigonometry, Derivatives, Integrals, Differential Equations", ,1,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,5,3,2,4,1,1
Yes,"Mathway, Photomath, Microsoft Math Solver",1,1,,,,,,,1,,,,"Mathway, Microsoft Math Solver",1,,,,,,,,1,,,,1-5 times a week,Less than 6 months,"Arithmetic, Algebra",1,1, , , , , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,2,3,4,3,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,6 months - 1 year,Arithmetic,1, , , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,4,4,3,4,2,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry",1,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,4,5,2,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Once per day,6 months - 1 year,"Trigonometry, Numerical Methods", , ,1,1, , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,5,3,3,5,3,3
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,6 months - 1 year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,3,4,3,4,1
Yes,"Photomath, Symbolab, Wolfram Alpha",,1,1,1,,,,,,,,,Wolfram Alpha,,,,1,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,3,3,4,3,5,1
